,Industries/Commodities,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,Used,Other,
,Name,Farms,"Forestry, fishing, and related activities",Oil and gas extraction,"Mining, except oil and gas",Support activities for mining,Utilities,Construction,Wood products,Nonmetallic mineral products,Primary metals,Fabricated metal products,Machinery,Computer and electronic products,"Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts",Other transportation equipment,Furniture and related products,Miscellaneous manufacturing,Food and beverage and tobacco products,Textile mills and textile product mills,Apparel and leather and allied products,Paper products,Printing and related support activities,Petroleum and coal products,Chemical products,Plastics and rubber products,Wholesale trade,Motor vehicle and parts dealers,Food and beverage stores,General merchandise stores,Other retail,Air transportation,Rail transportation,Water transportation,Truck transportation,Transit and ground passenger transportation,Pipeline transportation,Other transportation and support activities,Warehousing and storage,"Publishing industries, except internet (includes software)",Motion picture and sound recording industries,Broadcasting and telecommunications,"Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments",Insurance carriers and related activities,"Funds, trusts, and other financial vehicles",Housing,Other real estate,Rental and leasing services and lessors of intangible assets,Legal services,Computer systems design and related services,"Miscellaneous professional, scientific, and technical services",Management of companies and enterprises,Administrative and support services,Waste management and remediation services,Educational services,Ambulatory health care services,Hospitals,Nursing and residential care facilities,Social assistance,"Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries",Accommodation,Food services and drinking places,"Other services, except government",Federal general government (defense),Federal general government (nondefense),Federal government enterprises,State and local general government,State and local government enterprises,"Scrap, used and secondhand goods /1/",Noncomparable imports and rest-of-the-world adjustment /2/,Total Industry Output
111CA,Farms,545734,6123,---,---,---,---,---,13,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3473,---,---,---,---,---,---,---,---,---,---,555343
483,Water transportation,---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,67742,---,---,---,3410,---,---,---,---,---,---,---,---,---,---,---,---,---,19,48,---,---,---,---,---,---,---,---,---,234,---,---,---,---,---,---,---,---,---,---,71454
484,Truck transportation,---,---,---,---,---,---,63,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,486106,---,---,26531,9479,---,---,---,---,---,---,---,---,---,---,470,---,90,507,---,---,6537,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,529782
485,Transit and ground passenger transportation,---,---,---,---,---,---,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,---,---,0,---,---,---,---,145280,---,14,---,---,---,---,---,---,---,---,---,---,0,---,---,255,80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,145630
486,Pipeline transportation,---,---,---,---,---,232,107,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,70561,---,---,---,---,---,---,---,---,---,---,---,---,---,---,31,270,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,71201
487OS,Other transportation and support activities,---,---,---,---,---,---,125,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0,---,14,---,0,36,---,390,892,529,---,335069,1948,---,---,---,---,---,---,0,---,---,---,5,---,442,8344,---,6,---,---,---,---,---,---,---,---,---,34,1328,---,---,---,---,---,---,---,349161
493,Warehousing and storage,---,---,---,---,---,---,143,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,463,---,---,2357,176183,---,---,---,---,---,---,---,---,---,---,0,---,283,874,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,180304
511,"Publishing industries, except internet (includes software)",---,---,---,---,---,---,24,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1723,---,---,---,2316,---,---,---,3641,---,---,---,---,---,---,---,---,451705,---,0,60057,---,---,---,---,---,---,0,---,21346,50300,---,183,1,514,---,---,---,---,---,---,---,---,2,---,---,---,---,---,---,---,591814
512,Motion picture and sound recording industries,---,---,---,---,---,---,88,---,---,---,---,---,8,---,---,---,---,---,---,---,---,---,---,---,---,---,2,---,---,---,364,---,---,---,---,---,---,---,---,---,197805,---,---,---,---,---,---,---,151,83,---,709,2804,---,---,---,---,---,---,---,---,---,49,---,---,---,---,---,---,---,---,---,---,202063
513,Broadcasting and telecommunications,---,---,---,---,---,---,1213,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,155,---,---,---,9437,---,---,---,---,---,---,---,---,---,1300,790183,7,---,---,---,---,---,---,10729,---,2959,120365,---,---,---,---,---,---,---,---,---,---,---,---,814,---,---,---,---,---,---,---,937161
514,"Data processing, internet publishing, and other information services",---,---,---,---,---,---,969,---,---,---,---,---,968,---,---,---,---,---,---,---,---,---,---,---,---,---,5719,---,---,---,257,---,---,---,---,---,---,---,---,24034,---,3973,428055,---,---,---,---,---,---,36,---,29151,292717,---,99,---,182,---,---,---,---,---,---,---,---,154,---,---,---,---,---,---,---,786315
521CI,"Federal Reserve banks, credit intermediation, and related activities",---,---,---,---,---,---,4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1274791,31854,---,---,---,---,57623,---,2662,4814,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1371746
523,"Securities, commodity contracts, and investments",---,---,---,---,---,---,1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,40271,779262,5604,---,---,---,---,---,1114,2150,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,828402
524,Insurance carriers and related activities,---,---,---,---,---,---,5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2000,1367938,---,---,---,---,110,2825,5352,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1378230
